timestamp_us,magX_uT,magY_uT,magZ_uT
1762115796,-37.072,5.077,15.44
1762122796,-28.166,4.285,20.63
1762129796,-29.525,4.555,23.174
1762136796,-30.43,-1.069,14.396
1762143796,-28.751,0.333,20.678
1762150796,-25.72,1.271,14.052
1762157796,-28.261,7.148,27.428
1762164796,-28.401,12.971,15.487
1762171797,-28.107,2.716,16.347
1762178796,-35.173,2.72,16.701
1762185796,-32.614,5.689,12.083
1762192796,-27.508,6.238,15.291
1762199796,-27.606,12.615,22.053
1762206796,-34.552,3.769,14.153
1762213796,-31.26,0.435,10.348
1762220796,-27.232,4.028,16.827
1762227796,-24.375,3.483,12.241
1762234796,-32.651,9.032,14.577
1762241796,-27.402,2.84,18.611
1762248881,-30.048,6.946,18.101
1762260796,-31.331,4.381,26.236
1762267796,-27.006,1.341,22.16
1762274796,-29.834,-0.73,24.75
1762281796,-37.147,6.048,20.993
1762288796,-28.694,8.431,15.791
1762295796,-27.568,8.247,19.569
1762302796,-26.785,5.203,16.303
1762309796,-26.676,12.208,18.504
1762316797,-25.663,2.526,20.612
1762323796,-31.507,11.206,16.814
1762330796,-29.686,0.987,13.606
1762337796,-30.476,3.44,17.385
1762344796,-32.845,4.751,18.416
1762351796,-27.873,9.265,20.322
1762358796,-37.084,7.412,16.174
1762365796,-34.193,11.328,19.632
1762372796,-36.162,10.41,23.968
1762379797,-30.029,10.077,27.423
1762386796,-30.171,8.03,27.193
1762393796,-31.271,15.266,20.814
1762400796,-33.48,6.769,21.691
1762407797,-30.544,6.427,11.287
1762414796,-27.486,7.069,35.508
1762421796,-19.949,12.277,10.57
1762428796,-28.376,2.775,25.452
1762435796,-22.906,6.702,12.187
1762442796,-22.228,6.806,16.474
1762449796,-22.902,7.479,22.797
1762456796,-27.668,8.134,16.032
1762463796,-20.78,6.202,18.229
1762470796,-27.227,8.866,16.018
1762477796,-19.305,11.079,28.523
1762484796,-24.98,6.841,13.226
1762491796,-19.074,6.849,11.625
1762498796,-23.36,11.611,34.644
1762505796,-22.8,10.335,14.929
1762512796,-22.536,11.38,28.061
1762519796,-21.765,9.647,25.539
1762526796,-18.178,5.727,21.736
1762533796,-22.488,2.583,14.246
1762540796,-22.461,4.548,23.074
1762547796,-17.325,6.543,12.867
1762554911,-26.815,7.673,18.3
1762561885,-25.157,5.794,15.515
1762570025,-21.67,7.705,29.603
1762577966,-23.821,1.552,15.034
1762587345,-20.031,3.135,17.491
1762595275,-26.023,3.023,14.544
1762602800,-16.792,14.414,16.318
1762609796,-22.934,1.45,25.64
1762616796,-21.086,3.997,19.267
1762623796,-23.456,6.771,20.284
1762630796,-20.872,3.353,25.339
1762637796,-17.329,5.262,24.257
1762644796,-21.575,8.065,22.519
1762651796,-23.589,8.687,19.002
1762658796,-19.12,5.791,15.176
1762665796,-20.206,10.44,18.936
1762672796,-19.841,5.843,25.045
1762679796,-16.355,2.25,17.701
1762686796,-17.714,8.778,8.805
1762693796,-22.771,1.273,13.505
1762700796,-17.9,3.037,12.153
1762707796,-14.96,2.885,12.365
1762714796,-20.123,9.955,23.743
1762721796,-17.106,1.36,18.985
1762728796,-19.672,2.595,12.688
1762735796,-10.679,5.193,0.145
1762742796,-18.35,8.452,12.357
1762749796,-22.846,4.254,7.913
1762756796,-22.703,1.175,8.448
1762763796,-16.019,5.209,14.379
1762770796,-12.419,2.805,20.42
1762777796,-12.252,1.899,8.039
1762784796,-19.398,-0.058,14.481
1762791796,-16.764,6.334,4.013
1762798796,-12.111,5.452,19.124
1762805796,-14.78,3.787,9.825
1762812796,-14.44,-1.161,6.837
1762819796,-18.26,-0.274,6.377
1762826796,-14.219,3.433,0.972
1762833796,-10.848,-1.96,13.367
1762840796,-15.867,3.015,14.147
1762847796,-12.738,0.654,0.474
1762854796,-15.417,0.342,2.791
1762861796,-12.799,-2.466,5.31
1762868796,-10.582,2.626,-6.909
1762875796,-6.139,-1.608,-8.698
1762882796,-12.066,1.885,-5.869
1762889796,-12.421,-5.044,-0.736
1762896796,-11.228,-1.998,-13.172
1762903796,-7.497,0.087,-17.292
1762910796,-10.908,-0.515,-15.215
1762917796,-9.113,-0.391,-28.388
1762924796,-10.992,-0.804,-30.885
1762931796,-14.217,-6.212,-31.289
1762938796,-7.26,-4.831,-23.566
1762945796,-12.268,-1.647,-34.398
1762952796,-10.911,0.133,-36.964
1762959796,-12.005,-1.858,-42.995
1762966796,-10.452,1.129,-49.368
1762973796,-7.491,10.515,-51.53
1762980796,-19.471,9.459,-46.797
1762987797,-13.638,10.399,-53.969
1762994797,-7.592,16.954,-66.51
1763001796,-10.154,12.811,-61.628
1763008796,-5.635,9.951,-69.247
1763015796,-10.071,12.976,-78.822
1763022796,-7.371,20.376,-72.363
1763029796,-7.895,20.423,-77.16
1763036796,-4.633,26.947,-101.544
1763043797,0.372,28.555,-101.885
1763050796,3.324,35.738,-103.265
1763057796,-1.81,41.574,-115.892
1763064796,5.618,48.168,-132.752
1763071796,1.001,51.168,-139.795
1763078796,8.64,63.897,-140.035
1763085796,8.744,69.645,-159.31
1763092796,15.613,78.353,-167.587
1763099921,15.532,88.468,-184.376
1763106898,21.32,102.855,-189.41
1763115079,18.479,118.126,-209.245
1763123038,23.007,129.484,-218.781
1763130978,28.016,150.791,-243.089
1763138951,31.679,167.248,-265.305
1763147809,32.311,185.991,-281.181
1763154813,37.712,209.313,-301.975
1763161805,41.569,219.358,-327.162
1763168805,43.987,240.351,-333.733
1763175805,46.938,260.049,-357.995
1763182805,57.492,283.368,-379.116
1763189805,60.792,292.118,-406.557
1763196805,67.52,304.933,-415.633
1763203805,79.503,318.802,-443.756
1763210805,88.484,334.976,-467.562
1763217805,100.568,342.847,-480.709
1763224805,108.146,356.182,-498.399
1763231805,118.018,364.01,-522.132
1763238805,128.723,368.62,-530.928
1763245805,135.709,375.068,-547.78
1763252805,159.982,382.428,-570.197
1763259805,164.224,384.521,-590.504
1763266805,176.439,386.707,-590.954
1763273805,189.11,386.224,-603.265
1763280805,196.541,390.372,-609.229
1763287805,207.899,385.357,-621.98
1763294805,219.803,385.44,-632.011
1763301805,239.835,389.535,-634.109
1763308805,242.681,393.085,-638.231
1763315805,246.298,389.983,-666.314
1763322805,251.798,392.8,-670.719
1763329805,265.381,399.664,-685.899
1763336805,267.081,404.807,-703.421
1763343805,275.012,408.995,-713.69
1763350805,279.221,422.785,-732.6
1763357805,285.303,427.021,-747.646
1763364805,293.769,425.123,-764.434
1763371805,299.861,454.313,-771.393
1763378805,303.135,458.503,-796.512
1763385890,310.958,473.414,-810.682
1763397802,327.225,494.616,-840.711
1763404797,338.42,513.723,-865.337
1763411797,356.462,529.152,-873.591
1763418797,370.034,539.482,-899.172
1763425797,389.982,559.991,-918.376
1763432797,405.587,574.736,-931.391
1763439797,421.902,597.52,-943.235
1763446797,440.391,617.787,-952.302
1763453797,450.536,633.218,-975.106
1763460797,468.564,652.153,-982.637
1763467796,492.366,661.04,-981.045
1763474797,497.056,677.39,-992.151
1763481797,504.618,697.787,-998.283
1763488797,521.324,705.778,-994.053
1763495797,526.258,718.868,-1001.084
1763502803,531.136,723.421,-1003.223
1763509797,541.641,737.516,-1008.827
1763516797,546.804,741.476,-1010.205
1763523797,554.13,753.711,-1020.042
1763530797,559.016,764.569,-1023.257
1763537796,560.231,763.716,-1026.047
1763544797,566.318,771.513,-1030.765
1763551796,572.593,785.827,-1028.22
1763558797,576.69,790.746,-1037.936
1763565797,582.667,796.12,-1034.284
1763572797,592.195,803.662,-1043.346
1763579797,593.969,810.007,-1033.577
